store,product,type,promotion,validity,ori price,promo price
Tesco,Tesco Strawberries 400G,Strawberries,Any 2 for £3.50 Clubcard Price - Selected Tesco Finest* Or Tesco Fruits,Offer valid for delivery from 07/06/2022 until 20/06/2022,2.25,2.25
Tesco,Tesco Baked Beans In Tomato Sauce 420G,Tinned Baked Beans,Any 4 for £1.30 Clubcard Price - Tesco Baked Beans Or Reduced Sugar & Salt In Tomato Sauce 420g,Offer valid for delivery from 02/06/2022 until 21/06/2022,0.4,0.4
Tesco,Tesco Red Seedless Grapes Punnet 500G,Seedless Red Grapes,Any 2 for £3.50 Clubcard Price - Selected Tesco Finest* Or Tesco Fruits,Offer valid for delivery from 07/06/2022 until 20/06/2022,2.0,2.0
Tesco,Tesco Italian Chopped Tomatoes 400G Ce,Chopped Tomatoes,Any 4 for £1.60 Clubcard Price - Tesco Peeled Plum Or Italian Chopped Tomatoes 400g,Offer valid for delivery from 01/02/2022 until 28/02/2023,0.45,0.45
Tesco,Tesco Raspberries 150G,Raspberries,Any 2 for £3.50 Clubcard Price - Selected Tesco Finest* Or Tesco Fruits,Offer valid for delivery from 07/06/2022 until 20/06/2022,2.1,2.1
Tesco,Branston Beans In Tomato Sauce 410G,Tinned Baked Beans,Any 4 for £2.50 Clubcard Price - Branston Baked Beans Or Reduced Sugar & Salt In Tomato Sauce 410g,Offer valid for delivery from 01/06/2022 until 21/06/2022,0.8,0.8
Tesco,Tesco Drained Tuna Steak In Spring Water 110G,Tinned Tuna In Springwater,Any 3 for £3 Clubcard Price - Selected Tesco Drained Tuna Steak 110g,Offer valid for delivery from 01/06/2022 until 21/06/2022,1.25,1.25
Tesco,Tesco British Pork Wafer Thin Honey Roast Ham 125G,Honey Roast Ham,Any 2 for £3.50 Clubcard Price - Selected Tesco Meat Products 100g-130g,Offer valid for delivery from 20/04/2022 until 11/09/2022,2.0,2.0
Tesco,Tesco Gala Apple Minimum 5 Pack,Pink & Red Apples,£1.20 Clubcard Price,Offer valid for delivery from 07/06/2022 until 20/06/2022,1.7,1.2
Tesco,Cravendale Semi Skimmed Milk 2 Litre,Filtered Milk,Any 2 for £4 Clubcard Price - Selected Dairy Products 2 Litre,Offer valid for delivery from 16/06/2022 until 05/07/2022,2.25,2.25
Tesco,Tesco Finest Strawberries 300G,Strawberries,Any 2 for £3.50 Clubcard Price - Selected Tesco Finest* Or Tesco Fruits,Offer valid for delivery from 07/06/2022 until 20/06/2022,2.5,2.5
Tesco,Tesco Green Seedless Grapes Punnet 500G,Seedless Green Grapes,Any 2 for £3.50 Clubcard Price - Selected Tesco Finest* Or Tesco Fruits,Offer valid for delivery from 07/06/2022 until 20/06/2022,2.0,2.0
Tesco,Pepsi Max Cola Bottle,Sugar Free Cola,Any 2 for £3 Clubcard Price - Selected Pepsi Max Or Pepsi Diet 2 Litre,Offer valid for delivery from 11/05/2022 until 21/06/2022,1.75,1.75
Tesco,Tesco 4 Roast Beef Slices 100G,Cooked Beef Slices,Any 2 for £3.50 Clubcard Price - Selected Tesco Meat Products 100g-130g,Offer valid for delivery from 20/04/2022 until 11/09/2022,2.0,2.0
Tesco,Muller Corner Vanilla Yogurt With Chocolate Balls 124G,Creamy Yoghurt,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Green Giant Original Sweet Corn 198G,Tinned Sweetcorn,Any 4 for £2.50 Clubcard Price - Green Giant Original Or Salt Free Sweet Corn 198g,Offer valid for delivery from 01/06/2022 until 21/06/2022,0.8,0.8
